gtpu_access_tunnel_ip,count
 100.100.216.34        ,116
 100.100.136.221       ,116
 100.95.24.121         ,116
 100.95.21.203         ,116
 100.100.134.66        ,116
 100.102.161.40        ,116
 100.101.81.98         ,115
 100.93.57.115         ,115
 100.116.128.130       ,115
 100.93.58.249         ,115
 100.97.146.75         ,115
 10.36.21.38           ,115
 10.97.8.125           ,115
 10.36.18.113          ,115
 100.112.212.4         ,115
 100.95.18.182         ,115
 100.100.140.39        ,115
 100.93.48.238         ,115
 100.92.92.185         ,115
 100.99.142.172        ,115
 10.36.30.123          ,115
 10.36.31.12           ,115
 100.99.250.148        ,115
 100.100.136.235       ,115
 100.99.244.130        ,115
 100.100.136.163       ,115
 10.36.54.44           ,115
 100.100.218.215       ,115
 100.118.242.68        ,115
 100.99.137.115        ,115
 10.97.13.124          ,115
 100.102.74.244        ,114
 100.117.126.195       ,114
 100.100.143.210       ,114
 100.99.137.246        ,114
 10.36.119.51          ,114
 100.93.63.243         ,114
 10.36.53.38           ,114
 100.101.94.8          ,114
 10.36.23.19           ,114
 100.99.254.237        ,114
 100.99.142.236        ,114
 100.93.61.211         ,114
 100.112.218.231       ,114
 100.99.250.88         ,114
 10.36.26.233          ,114
 10.36.125.115         ,114
 100.102.64.185        ,114
 100.99.138.197        ,114
 100.102.173.180       ,114
 100.102.163.83        ,113
 100.101.152.69        ,113
 100.102.172.242       ,113
 100.102.75.114        ,113
 100.99.137.245        ,113
 100.99.254.249        ,113
 100.93.52.67          ,113
 100.102.74.9          ,113
 100.92.85.165         ,113
 100.93.60.57          ,113
 100.100.133.41        ,113
 100.95.25.139         ,113
 100.95.26.60          ,113
 100.102.66.4          ,113
 100.99.137.166        ,113
 100.101.158.230       ,113
 10.36.23.237          ,113
 10.36.29.221          ,113
 100.102.173.162       ,113
 10.36.81.206          ,113
 10.36.95.44           ,113
 100.99.138.135        ,113
 100.99.129.71         ,112
 100.93.63.254         ,112
 100.99.246.55         ,112
 100.100.140.146       ,112
 100.95.16.249         ,112
 100.97.150.73         ,112
 100.100.218.184       ,112
 100.100.134.149       ,112
 10.36.95.3            ,112
 100.102.70.4          ,112
 100.97.154.150        ,112
 100.101.89.228        ,112
 100.101.92.4          ,112
 100.93.56.76          ,112
 100.112.218.183       ,112
 100.100.136.182       ,112
 100.99.143.222        ,112
 100.103.129.3         ,112
 100.116.130.98        ,111
 100.101.156.215       ,111
 100.101.80.2          ,111
 100.102.169.147       ,111
 100.92.95.27          ,111
 100.99.242.146        ,111
 100.99.253.57         ,111
 10.36.53.57           ,111
 100.93.63.58          ,111
 100.100.221.215       ,111
 100.99.246.68         ,111
 10.97.13.26           ,111
 100.103.133.35        ,111
 100.100.128.133       ,111
 10.36.18.200          ,111
 10.36.23.250          ,111
 100.102.171.103       ,111
 100.99.248.242        ,111
 100.99.248.210        ,111
 10.36.31.40           ,110
 100.102.75.19         ,110
 100.102.169.4         ,110
 100.116.139.130       ,110
 10.36.16.14           ,110
 100.95.31.59          ,110
 10.36.59.53           ,110
 100.99.139.164        ,110
 100.97.146.62         ,110
 100.95.27.67          ,110
 100.99.138.67         ,110
 10.36.25.21           ,110
 100.99.242.22         ,110
 100.102.67.5          ,110
 100.99.255.148        ,110
 100.102.163.66        ,110
 10.36.28.170          ,110
 10.36.88.87           ,110
 100.100.134.89        ,110
 100.95.27.120         ,110
 100.97.152.204        ,110
 100.102.77.130        ,110
 10.97.5.174           ,110
 100.99.246.133        ,110
 100.102.166.211       ,109
 100.99.138.83         ,109
 100.99.253.100        ,109
 10.36.27.38           ,109
 10.36.93.251          ,109
 100.102.76.115        ,109
 100.112.209.131       ,109
 100.99.251.83         ,109
 10.36.22.253          ,109
 100.101.93.169        ,109
 100.100.218.242       ,109
