rat_type ,gtpu_access_tunnel_ip, cell_type ,cell_name,cell_site, loc_eci   ,latitude,longitude, cd_call_id ,s_dl_rtcp_mos, c_dl_rtcp_mos , s_ul_rtcp_mos     , c_ul_rtcp_mos 
 6        , 100.99.254.114        , OM        , 404-97-591424-33 , UW_E_F1_OM_DEH03D_D    , 151404577 , 30.31747 , 78.02889999999999 , 467        , 2686.853208        , 659           , 2659.467171       , 659           
 6        , 100.99.254.114        , OM        , 404-97-503177-32 , UW_E_F1_OM_DEH818C_C   , 128813344 , 30.32029 , 78.03216          , 5          , 61.30574399999999 , 15            , 61.202789         , 15            
 6        , 100.99.254.114        , OM        , 404-97-592402-62 , UW_E_F5_OM_DEH70C_C    , 151654974 , 30.31048 , 78.02806          , 1          , 4.393106          , 1             , 4.376633          , 1             
 6        , 100.99.254.114        , OM        , 404-97-91427-96  , UW_ZQ_T1_OM_DEH06C_N  , 23405408  , 30.30376 , 78.01237          , 1          , 8.749286999999999 , 2             , 8.765618          , 2             
 6        , 100.99.254.114        , Macro     , 404-97-61866-90  , UW_E_T1_HS_DDRM46A_A  , 15837786  , 30.31626 , 78.03214          , 10         , 61.37603299999999 , 15            , 61.45050999999999 , 15            
 6        , 100.99.254.114        , OM        , 404-97-91424-1   , UW_E_F3_OM_DEH03A_A   , 23404545  , 30.31747 , 78.02889999999999 , 53         , 772.181433        , 180           , 775.8057109999999 , 180           
 6        , 100.99.254.114        , ULS       , 404-97-61196-91  , UW_E_T1_HS_DEHM257B_B , 15666267  , 30.32399 , 78.02056          , 1          , 4.389158          , 1             , 4.386895          , 1             
 6        , 100.99.254.114        , OM        , 404-97-592232-32 , UW_E_F1_OM_DEH354C_C  , 151611424 , 30.30198 , 78.01082          , 1          , 8.769169999999999  , 2             , 8.747465999999999 , 2             
 6        , 100.99.254.114        , OM        , 404-97-92402-1   , UW_E_F3_OM_DEH70A_A   , 23654913  , 30.31048 , 78.02806          , 1          , 4.384825          , 1             , 4.392108          , 1             
 6        , 100.99.254.114        , OM        , 404-97-593484-30 , UW_E_F1_OM_DEH72A_A    , 151931934 , 30.31823 , 78.03431999999999 , 1          , 8.799806999999999 , 2             , 8.80012           , 2             
 6        , 100.99.254.114        , Other     , Other            , Other                 , 15699999  , 0        , 0                 , 1          , 4.374599          , 1             , 4.34137           , 1             
 6        , 100.99.254.114        , OM        , 404-97-91424-2   , UW_E_F3_OM_DEH03B_B   , 23404546  , 30.31747 , 78.02889999999999 , 32         , 757.7418029999999 , 174           , 758.643004        , 174           
 6        , 100.99.254.114        , OM         , 404-97-93373-91  , UW_E_T1_OM_DEH117B_B  , 23903579  , 30.31527 , 78.01671          , 3          , 13.167365         , 3             , 13.169934         , 3             
 6        , 100.99.254.114        , OM         , 404-97-95494-1   , UW_E_F3_OM_DEH220A_A  , 24446465  , 30.32273 , 78.04138          , 1          , 26.297963         , 6             , 26.303907         , 6             
 6        , 100.99.254.114        , OM        , 404-97-803177-2  , UW_E_F3_OM_DEH818B_B  , 205613314 , 30.32029 , 78.03216          , 4          , 30.702787         , 7             , 30.403505         , 7             
 6        , 100.99.254.114        , ULS       , 404-97-61220-90  , UW_E_T1_HS_DEHM268A_A , 15672410  , 30.28163 , 78.02679000000001 , 1          , 13.14622          , 3             , 13.109899         , 3             
 6        , 100.99.254.114        , OM        , 404-97-931666-90 , UW_E_T1_OM_DEH241A_A   , 238506586 , 30.33849 , 78.02988000000001 , 1          , 0                 , 1             , 0                 , 1             
 6        , 100.99.254.114        , OM         , 404-97-91436-2   , UW_E_F3_OM_DEH15B_B    , 23407618  , 30.30494 , 78.05087          , 1          , 4.357331          , 1             , 4.356804          , 1             
 6        , 100.99.254.114        , OM        , 404-97-593484-32 , UW_E_F1_OM_DEH72C_C    , 151931936 , 30.31823 , 78.03431999999999 , 1          , 30.734623         , 7             , 30.774446         , 7             
 6        , 100.99.254.114        , OM        , 404-97-91640-4   , UW_E_F3_OM_DEH214D_D  , 23459844  , 30.32299 , 78.03310999999999 , 1          , 13.001063         , 3             , 13.030778         , 3             
 6        , 100.99.254.114        , OM        , 404-97-91418-1   , UW_E_F3_OM_DEH44A_A   , 23403009  , 30.275   , 77.98981000000001 , 1          , 4.388324           , 1             , 4.377978          , 1             
 6        , 100.99.254.114        , OM         , 404-97-802427-2  , UW_E_F3_OM_DEH826B_B  , 205421314 , 30.31087 , 78.03185000000001 , 1          , 8.725828          , 2             , 8.760154          , 2             
 6        , 100.99.254.114        , OM        , 404-97-91424-95  , UW_E_T1_OM_DEH03B_M   , 23404639  , 30.31747 , 78.02889999999999 , 56         , 837.222415         , 192           , 841.7274710000002 , 192           
 6        , 100.99.254.114        , OM        , 404-97-591643-37 , UW_E_F1_OM_DEH52B_M   , 151460645 , 30.32286 , 78.02835          , 19         , 273.064028         , 63            , 275.999791        , 63            
 6        , 100.99.254.114        , OM        , 404-97-830648-22 , UW_E_T2_OM_DEH430C_C   , 212645910 , 30.313   , 78.0274           , 3          , 17.563393         , 4             , 17.555129         , 4             
 6        , 100.99.254.114        , OM         , 404-97-593661-31 , UW_E_F1_OM_DEH376B_B  , 151977247 , 30.28798 , 78.09654          , 1          , 4.39103           , 1             , 4.38208           , 1             
 6        , 100.99.254.114        , OM        , 404-97-596540-61 , UW_E_F5_OM_DEH330B_B   , 152714301 , 30.31457 , 78.03167000000001 , 1          , 4.392621          , 1             , 4.399483          , 1             
